"","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION"
"1","NEW DOUBLE DRAGON","37","1 AVENUE",10003,"Chinese"
"2","CHAPATI HOUSE","3153","BROADWAY",10027,"Indian"
"3","FEI TENG RESTAURANT","68","EAST BROADWAY",10002,"Chinese"
"4","THE JUNCTION","329","LEXINGTON AVENUE",10016,"American"
"5","RUFFIAN WINE BAR","125","E 7TH ST",10009,"Continental"
"6","LA BOITE EN BOIS","75","WEST   68 STREET",10023,"French"
"7","ANDY'S DELI","291","BROADWAY",10007,"American"
"8","NUTS.COM","2","PENN STATION",10119,"Not Listed/Not Applicable"
"9","FRESH & CO","261-267","CANAL ST",10013,"American"
"10","POMODORO RISTORANTE","51","SPRING STREET",10012,"Pizza/Italian"
"11","HAVANA CENTRAL","151","WEST   46 STREET",10036,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"12","CITY CAFE","35","WEST   43 STREET",10036,"Delicatessen"
"13","STOUT","60","E 41ST ST",10017,"American"
"14","PAT LAFRIEDA MEAT PURVEYORS","2","PENN PLZ",10121,"Sandwiches"
"15","SHANGHAI ASIAN CUISINE","14A","ELIZABETH ST",10013,"Chinese"
"16","JACK'S STIR BREW COFFEE","222","FRONT STREET",10038,"Caf̩/Coffee/Tea"
"17","ESSEN","290","MADISON AVENUE",10017,"American"
"18","THE RIVER CLUB","447","EAST   52 STREET",10022,"American"
"19","CHIRPING CHICKEN","587","9TH AVE",10036,"Chicken"
"20","PAUL WEISS RIFKIN WHARTON","1285","6 AVENUE",10019,"American"
"21","BUFFALO BOSS","17","W 125TH ST",10027,"Chicken"
"22","CAPRI BAKERY","186","EAST  116 STREET",10029,"Bakery"
"23","BAR VIRAGE","118","2 AVENUE",10003,"American"
"24","PHILLIP MARIE","569","HUDSON STREET",10014,"American"
"25","YIP'S RESTAURANT/JUICE VITALITY","18","BEAVER STREET",10004,"Asian"
"26","RESERVE CUT","40","BROAD ST",10004,"Jewish/Kosher"
"27","SANTINA","820","WASHINGTON ST",10014,"Armenian"
"28","UMAMI BURGER","432","AVENUE OF THE AMERICAS",10011,"Hamburgers"
"29","MIDO","612","AMSTERDAM AVE",10024,"Asian"
"30","CHICK'NCONE","1000 S","8TH AVE",10019,"Other"
"31","LE PAIN QUOTIDIEN","550","HUDSON STREET",10014,"Sandwiches"
"32","CARBONE","331","W 38TH ST",10018,"Italian"
"33","RED STAR","2060","ACP JR BLVD",10027,"Chinese"
"34","PARMA RESTAURANT","1404","3 AVENUE",10075,"Italian"
"35","LUCKY DELI","12","EAST   37 STREET",10016,"Delicatessen"
"36","BOWERY ELECTRIC","327","BOWERY",10003,"American"
"37","JADE GARDEN","4028","BROADWAY",10032,"Chinese"
"38","TWO DOORS TAVERN","1576","3 AVENUE",10128,"American"
