"","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION"
"4801","CAFE ARTE","20","PINE ST",10005,"Delicatessen"
"4802","GONG CHA","75","W 38TH ST",10018,"Juice, Smoothies, Fruit Salads"
"4803","MCDONALD'S","262","CANAL STREET",10013,"Hamburgers"
"4804","CHIPOTLE MEXICAN GRILL","25","WEST   45 STREET",10036,"Mexican"
"4805","BIRCH COFFEE","8","SPRUCE ST",10038,"Caf̩/Coffee/Tea"
"4806","ISLAND BURGERS AND SHAKES","766","NINTH AVENUE",10019,"Hamburgers"
"4807","GRIFFIS FACULTY CLUB","521","EAST   68 STREET",10065,"American"
"4808","Vivid Cabaret","61","W 37TH ST",10018,"American"
"4809","VAN LEEUWEN ARTISAN ICE CREAM","224","FRONT ST",10038,"Ice Cream, Gelato, Yogurt, Ices"
"4810","TENZAN 89","1714","2ND AVE",10128,"Japanese"
"4811","NARGILA GRILL","1599","YORK AVENUE",10028,"Jewish/Kosher"
"4812","BRAZIL BRAZIL RESTUARANT","330","WEST 46 STREET",10036,"Brazilian"
"4813","UPSTAIRS LOUNGE THE KIMBERLY HOTEL/ BISTANGO","145","EAST 50 STREET",10022,"American"
"4814","ELITE FOOD BAR","325","EAST   48 STREET",10017,"American"
"4815","MCDONALD'S","1651","BROADWAY",10019,"American"
"4816","POUND AND PENCE","55","LIBERTY STREET",10005,"English"
"4817","GINGER ROOT","1164","1ST AVE",10065,"Chinese"
"4818","KOKO WINGS","248","W 106TH ST",10025,"Chicken"
"4819","KAM HING BAKERY","81","BAYARD ST",10013,"Bakery"
"4820","TOPAZ NOODLE BAR","129","W 56TH ST",10019,"Asian"
"4821","VA BENE","1589","SECOND AVENUE",10028,"Jewish/Kosher"
"4822","BALLATO'S RESTAURANT","55","EAST HOUSTON STREET",10012,"Italian"
"4823","REFRIED BEANS","591","FORT WASHINGTON AVENUE",10033,"Mexican"
"4824","LE PAIN QUOTIDIEN","PQ","BRYANT PARK KIOSK2",10018,"French"
"4825","JUICE FIT","55","AMSTERDAM AVE",10023,"Juice, Smoothies, Fruit Salads"
"4826","TERMINAL 5","610","WEST   56 STREET",10019,"American"
"4827","JIMBO'S HAMBURGER PLACE","301","WEST  154 STREET",10039,"American"
"4828","OFRENDA","113","7 AVENUE SOUTH",10014,"Mexican"
"4829","SUBWAY","174","CANAL ST",10013,"Sandwiches/Salads/Mixed Buffet"
"4830","DUNKIN' DONUTS","391","8TH AVE",10001,"Donuts"
"4831","LA ESQUINA","1402","2ND AVE",10021,"Mexican"
"4832","THE GROTTO","69","NEW STREET",10004,"Pizza"
"4833","PASTA LOVERS TRATTORIA","142","WEST   49 STREET",10019,"Italian"
"4834","UPHOLSTRY STORE","715","WASHINGTON ST",10014,"French"
"4835","RIZZO FINE PIZZA","17","CLINTON STREET",10002,"Pizza"
"4836","SERAFINA","210","WEST   55 STREET",10019,"Italian"
"4837","HAPPY HOT HUNAN RESTAURANT","969","AMSTERDAM AVE",10025,"Chinese"
"4838","TACOMBI AT FONDA NOLITA","267","ELIZABETH STREET",10012,"Mexican"
"4839","FU SING","4151","BROADWAY",10032,"Chinese"
"4840","GOTHAM COFFEE ROASTERS","23","W 19TH ST",10011,"Caf̩/Coffee/Tea"
"4841","A VOCE","41","MADISON AVENUE",10010,"Italian"
"4842","CUT BY WOLFGANG PUCK","99","CHURCH ST",10007,"Steak"
"4843","ARGO TEA","550","1 AVENUE",10016,"Caf̩/Coffee/Tea"
"4844","55 THOMAS CAFE","55","THOMAS STREET",10013,"American"
"4845","AMERICAN BAR","1471","1 AVENUE",10075,"American"
"4846","NUMERO 28","1431","1 AVENUE",10021,"Italian"
"4847","GUSTAUF RESTAURANT","2440","AMSTERDAM AVE",10033,"Spanish"
"4848","BAAL CAFE AND FALAFEL","71","SULLIVAN ST",10012,"Mediterranean"
"4849","SWEET & VICIOUS","5","SPRING STREET",10012,"American"
"4850","JUST SALAD","1471","THIRD AVE",10028,"Salads"
"4851","JOHNS CAFE & RESTURANT","823","SECOND AVENUE",10017,"American"
"4852","MY BUBBLY TEA","55","BAYARD STREET",10013,"Juice, Smoothies, Fruit Salads"
"4853","KAHLUA'S CAFE & RESTAURANT","2117","3 AVENUE",10029,"Mexican"
"4854","LATINO'S BAR & GRILL RESTAURANT","3864","BROADWAY",10032,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"4855","NOCCIOLA RISTORANTE","237","E 116TH ST",10029,"Italian"
"4856","STARBUCKS","393","3 AVENUE",10016,"Caf̩/Coffee/Tea"
"4857","MANDOLINO","137","E 13TH ST",10003,"Pizza/Italian"
"4858","WO HOP CITY","15","MOTT STREET",10013,"Chinese"
"4859","ZIBETTO ESPRESSO BAR","501","5TH AVE",10017,"American"
"4860","OLIVE TREE","1420","BROADWAY",10018,"American"
"4861","THE BLARNEY STONE PUB & RESTAURANT","410","8 AVENUE",10001,"American"
"4862","PARIS BLUES","2021","7 AVENUE",10027,"American"
"4863","TRATTORIA SPAGHETTO","232","BLEECKER STREET",10014,"Italian"
"4864","CHINA KING","285","3RD AVE",10010,"Chinese"
"4865","MEXICUE","1440","BROADWAY",10018,"Mexican"
"4866","SHORTY TANG NOODLE SHOP","98","8TH AVE",10011,"Chinese"
"4867","DIVE BAR","732","AMSTERDAM AVENUE",10025,"American"
"4868","BLOOMS DELICATESSEN AND RESTAURANT","124","EAST   40 STREET",10016,"American"
"4869","GIGINO TRATTORIA","323","GREENWICH STREET",10013,"Italian"
"4870","PERIYALI","35","WEST   20 STREET",10011,"Greek"
"4871","SALVO'S","1477","YORK AVENUE",10075,"Pizza/Italian"
"4872","JUKE BAR","196","2ND AVENUE",10003,"American"
"4873","CASA NONNA","310","WEST   38 STREET",10018,"Italian"
"4874","BAR VELOCE","176","7 AVENUE",10011,"American"
"4875","EASTFIELD'S","1479","YORK AVE",10075,"American"
"4876","JAKE'S SALOON","202","9 AVENUE",10011,"American"
"4877","ANDREWS COFFEE SHOP","463","7 AVENUE",10018,"American"
"4878","SHANGHAI HEPING RESTAURANT","104","MOTT STREET",10013,"Chinese"
"4879","THE CUPPING ROOM","359","WEST BROADWAY",10013,"American"
"4880","COSME","35","E 21ST ST",10010,"Mexican"
"4881","STARBUCKS","2045","BROADWAY",10023,"Caf̩/Coffee/Tea"
"4882","MR BROADWAY KOSHER RESTAURANT","1372","BROADWAY",10018,"Jewish/Kosher"
"4883","FP BAKERY","200","WEST STREET",10282,"French"
"4884","JAPAS 38","9","EAST   38 STREET",10016,"Japanese"
"4885","NEW YORK OPEN CENTER","22","EAST 30 STREET",10016,"American"
"4886","TOTTO RAMEN","248","E 52ND ST",10022,"Japanese"
"4887","A.R.E.B.A.-CASRIEL","500","WEST   57 STREET",10019,"American"
"4888","ORIENT EXPRESS","325","WEST   11 STREET",10014,"Turkish"
"4889","FOREVER TASTE RESTAURANT","27","RUTGERS ST",10002,"Chinese"
"4890","BENSON'S NYC","181","ESSEX ST",10002,"American"
"4891","BAZAR","31","W 26TH ST",10010,"Tapas"
"4892","DOWNTOWN BAKERY II MEXICAN FOOD","69","1 AVENUE",10003,"Mexican"
"4893","OREN'S DAILY ROAST","29","WAVERLY PL",10003,"Caf̩/Coffee/Tea"
"4894","SHUN LEE","37","WEST   65 STREET",10023,"Chinese"
"4895","LOTUS CAFE","151","DYCKMAN ST",10040,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"4896","CHOP'T","24","EAST   17 STREET",10003,"Salads"
"4897","EAST SIDE DINER","352","E 23RD ST",10010,"American"
"4898","CULTURE ESPRESSO","72","WEST   38 STREET",10018,"Caf̩/Coffee/Tea"
"4899","OSTERIA SERAFINA","38","EAST   58 STREET",10022,"Italian"
"4900","VIVI BUBBLE TEA","170","WEST   23 STREET",10011,"Chinese"
"4901","DUNKIN' DONUTS","110","WEST  145 STREET",10039,"Donuts"
"4902","EMPANADA MAMA","765","9TH AVE",10019,"Spanish"
"4903","MUSCLE MAKER GRILL","2735","BROADWAY",10025,"Other"
"4904","STARBUCKS","518","HUDSON STREET",10014,"Caf̩/Coffee/Tea"
"4905","LITTLE PIE COMPANY","424","WEST   43 STREET",10036,"Bakery"
"4906","HOT SICHUAN","130","9TH AVE",10011,"Chinese"
"4907","BARBARESCO","843","LEXINGTON AVENUE",10065,"Italian"
"4908","CHIKARASHI","227","CANAL ST",10013,"Japanese"
"4909","LINCOLN FRIED CHICKEN","576","W 125TH ST",10027,"Chicken"
"4910","LEVAIN BAKERY","167","WEST   74 STREET",10023,"Bakery"
"4911","GENE'S RESTURANT","73","WEST   11 STREET",10011,"Italian"
"4912","STARBUCKS","2929","BROADWAY",10025,"Caf̩/Coffee/Tea"
"4913","El Rancho Vegano","2270","2ND AVE",10035,"Spanish"
"4914","CHIPOTLE MEXICAN GRILL","1153","3 AVENUE",10065,"Tex-Mex"
"4915","JUST FOR FEN","229","1ST AVE",10003,"Chinese"
"4916","CALEDONIA","424","AMSTERDAM AVE",10024,"American"
"4917","CATA","245","BOWERY ST",10002,"Spanish"
"4918","SUSHI SAMBA #7","87","7 AVENUE SOUTH",10014,"Japanese"
"4919","MI-NE SUSHI TOTOYA","496","6TH AVE",10011,"Japanese"
"4920","DOS CAMINOS","1567","BROADWAY",10036,"Mexican"
"4921","ATLANTIC THEATER (van Beuren Kass Bar)","336","W 20TH ST",10011,"Caf̩/Coffee/Tea"
"4922","POSH","405","WEST 51 STREET",10019,"American"
"4923","STARBUCKS","125 - 135","EAST  57 STREET",10022,"Caf̩/Coffee/Tea"
"4924","LAKE COMO PIZZA","2549","AMSTERDAM AVENUE",10033,"Pizza"
"4925","THE BAO","13","SAINT MARKS PL",10003,"Chinese"
"4926","PYLOS","128","EAST    7 STREET",10009,"Greek"
"4927","PASTAFINA","876","LEXINGTON AVE",10065,"Pizza/Italian"
"4928","MCDONALD'S RESTAURANT","1871","2ND AVE",10029,"Hamburgers"
"4929","GEORGE'S PIZZA","726","W 181ST ST",10033,"Pizza/Italian"
"4930","VILLAGE PIZZA","65","8 AVENUE",10014,"Pizza"
"4931","THE RUSSIAN TEA ROOM","150","WEST   57 STREET",10019,"Russian"
"4932","GUY & GALLARD 8","180","MADISON AVENUE",10016,"American"
"4933","CHEEKY SANDWICHES","35","ORCHARD STREET",10002,"Sandwiches"
"4934","MALII","2028","2ND AVE",10029,"Thai"
"4935","HOLIDAY INN EXPRESS","538","WEST 48TH STREET",10036,"Continental"
"4936","TIO PIO WEST","46","WEST   36 STREET",10018,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"4937","CIRCA TABAC","32","WATTS STREET",10013,"American"
"4938","WHITMAN & BLOOM","384","3 AVENUE",10016,"American"
"4939","YAMA","308","EAST   49 STREET",10017,"Japanese"
"4940","PARDON MY FRENCH","103","AVENUE B",10009,"French"
"4941","RACQUET & TENNIS CLUB","370","PARK AVENUE",10022,"American"
"4942","CARLOW EAST","1254","LEXINGTON AVENUE",10028,"American"
"4943","AFRICAN AMERICAN BEST FOOD","410","LENOX AVENUE",10037,"African"
"4944","HALAH KITCHEN","2135","2ND AVE",10029,"Chinese"
"4945","RIOSSI PIZZA","4417","BROADWAY",10040,"Pizza"
"4946","KEY BAR","432","EAST   13 STREET",10009,"American"
"4947","CHARLIE'S PLACE & SUSHI","1960","MADISON AVE",10035,"Japanese"
"4948","HOT & CRUSTY","2393","BROADWAY",10024,"American"
"4949","SHARAKU JAPANESE RESTAURANT","14","STUYVESANT STREET",10003,"Japanese"
"4950","VILLA BERULIA","107","EAST   34 STREET",10016,"Italian"
"4951","PETE'S TAVERN","129","EAST   18 STREET",10003,"American"
"4952","STARBUCKS","48","WEST   73 STREET",10023,"Caf̩/Coffee/Tea"
"4953","YOURS TRULY","8","SPRING ST",10012,"Caf̩/Coffee/Tea"
"4954","FRANCESCO PIZZERIA","186","COLUMBUS AVENUE",10023,"Pizza/Italian"
"4955","BELL BOOK & CANDLE","141","WEST   10 STREET",10014,"American"
"4956","Tali","77","LEXINGTON AVE",10010,"Italian"
"4957","POULETTE","790","9TH AVE",10019,"Chicken"
"4958","MAMO RESTAURANT","323","W BROADWAY",10013,"Italian"
"4959","CHEN'S KITCHEN","200","DYCKMAN ST",10040,"Chinese"
"4960","ESSEN","519","8TH AVE",10018,"American"
"4961","L'YBANE BAR RESTAURANT","709","8 AVENUE",10036,"Moroccan"
"4962","MEI YU SPRING RESTAURANT","29","CATHERINE STREET",10038,"Chinese"
"4963","The Spotted Dog","1154","1 AVENUE",10065,"American"
"4964","VIVOLO","138140","EAST   74 STREET",10021,"Italian"
"4965","The Milton","1754","2ND AVE",10128,"American"
"4966","PRETTO CAFFE E CUCINA","417","AMSTERDAM AVENUE",10024,"Italian"
"4967","POKEWORKS","23","E 15TH ST",10003,"Hawaiian"
"4968","THALIA","828","8 AVENUE",10019,"American"
"4969","ABIGAEL'S ON BROADWAY","1407","BROADWAY",10018,"Jewish/Kosher"
"4970","DELI & GROCERY","666","6TH AVENUE",10010,"Delicatessen"
"4971","FONDA","40","AVENUE B",10009,"Mexican"
"4972","RAIN II","1095","SAINT NICHOLAS AVE",10032,"Thai"
"4973","LE PAIN QUOTIDIEN","65","BLEECKER STREET",10012,"Bakery"
"4974","SUBWAY","106","GREENWICH STREET",10006,"Sandwiches"
"4975","EMPELLON","230","WEST    4 STREET",10014,"Mexican"
"4976","BUTCHER BAR","146","ORCHARD ST",10002,"American"
"4977","KATSUHAMA 47","11","EAST 47 STREET",10017,"Japanese"
"4978","JOE: THE ART OF COFFEE","405","WEST   23 STREET",10011,"Caf̩/Coffee/Tea"
"4979","UNDERWEST","638","W 47TH ST",10036,"Caf̩/Coffee/Tea"
"4980","SUBWAY","971","AMSTERDAM AVE",10025,"Sandwiches"
"4981","PARKSIDE LOUNGE","317","EAST HOUSTON STREET",10002,"American"
"4982","THE RUM HOUSE","228","WEST   47 STREET",10036,"American"
"4983","MURPHY'S TAVERN","6","STONE STREET",10004,"American"
"4984","TED'S MONTANA GRILL","110","WEST   51 STREET",10019,"American"
"4985","MARK FORGIONE","134","READE STREET",10013,"American"
"4986","DUNKIN' DONUTS, BASKINS ROBBINS","130","DYCKMAN STREET",10040,"Donuts"
"4987","PICK-A-BAGEL/DUMPLING ROOM","35","WEST END AVENUE",10023,"American"
"4988","VINNY VINCENZ","231","1 AVENUE",10003,"Pizza"
"4989","DIG INN","133","W 38TH ST",10018,"American"
"4990","THAI JASMINE RESTAURANT","106","BAYARD ST",10013,"Thai"
"4991","TIMES DELI & CAFE","158","WEST 44 STREET",10036,"Delicatessen"
"4992","LA CROSTA RESTAURANT","436","EAST   72 STREET",10021,"Pizza"
"4993","BRYANT PARK GRILL","25","WEST 40TH STREET",10018,"American"
"4994","DJ REYNOLDS PUB AND RESTAURANT","351","WEST   57 STREET",10019,"Irish"
"4995","SUBWAY","2699","BROADWAY",10025,"Sandwiches/Salads/Mixed Buffet"
"4996","CRAVE SANDWICHES","1120","AVENUE OF THE AMERICAS",10036,"Sandwiches/Salads/Mixed Buffet"
"4997","THE FLYING COCK PUB","497","3RD AVE",10016,"Irish"
"4998","FREDERIC FEKKAI NEW YORK","712","5 AVENUE",10019,"American"
"4999","LENWICH","32","WATER ST",10004,"Mexican"
"5000","INATESSO PIZZA BAR CASANO","28","WEST STREET",10004,"Pizza/Italian"
"5001","THE KEG ROOM","53","WEST   36 STREET",10018,"Irish"
"5002","NEW WONG ASIAN FOOD","1217","1ST AVE",10065,"Chinese"
"5003","MENDY'S","109","EAST   42 STREET",10017,"Jewish/Kosher"
"5004","MURPHY'S LAW","417","EAST   70 STREET",10021,"Irish"
"5005","CALIENTE CAB CO","61","7 AVENUE SOUTH",10014,"Mexican"
"5006","COOPER'S CRAFT & KITCHEN","87","2 AVENUE",10003,"American"
"5007","ORAMEN","579","AVENUE OF THE AMERICAS",10011,"Japanese"
"5008","FINANCIER PATISSERIE","983","1 AVENUE",10022,"French"
"5009","MASTRO'S STEAKHOUSE","1285","AVENUE OF THE AMERICAS",10019,"Steak"
"5010","GENA'S GRILL","210","1 AVENUE",10009,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"5011","STARBUCKS","330","MADISON AVENUE",10017,"Caf̩/Coffee/Tea"
"5012","CHELSEA BELL","260","W 26TH ST",10001,"American"
"5013","DUNKIN' DONUTS","1873","2 AVENUE",10029,"Donuts"
"5014","MR. FONG'S","40","MARKET ST",10002,"American"
"5015","FINESTRA","1370","YORK AVENUE",10021,"Italian"
"5016","MOLLY'S","287","3 AVENUE",10010,"Irish"
"5017","LEE CHUNG CAFE","82","MADISON STREET",10002,"Chinese"
"5018","CLOCK WORK","21","ESSEX STREET",10002,"American"
"5019","CARACAS AREPA /TO GO","91","EAST    7 STREET",10009,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"5020","WENDY'S","3939","BROADWAY",10032,"American"
"5021","129 GOURMET DELI & GROCERY","129","E 45TH ST",10017,"American"
"5022","BLACK ROCK CAFE","51","WEST   52 STREET",10019,"American"
"5023","THAILAND CAFE","95","2ND AVE",10003,"Thai"
"5024","STARBUCKS","220","EAST   42 STREET",10017,"Caf̩/Coffee/Tea"
"5025","TASTY DUMPLING","42","MULBERRY ST",10013,"Chinese"
"5026","FRESCO 57","881","10 AVENUE",10019,"American"
"5027","DUNKIN' DONUTS, BASKIN ROBBINS","1225","1 AVENUE",10065,"Donuts"
"5028","SOCIETY BILLARDS AND BAR","10","EAST   21 STREET",10010,"American"
"5029","CAGEN","414","EAST 9 STREET",10009,"Japanese"
"5030","DERA RESTAURANT","103","LEXINGTON AVE",10016,"Indian"
"5031","BREAD & BUTTER","419","PARK AVE S",10016,"American"
"5032","CANARD INC","503","WEST   43 STREET",10036,"American"
"5033","AMY'S RESTAURANT","586","W 207TH ST",10034,"Chinese/Cuban"
"5034","PJ MORANS","3","EAST   48 STREET",10017,"Irish"
"5035","RISOTTERIA MELOTTI","309","EAST 5 STREET",10003,"Italian"
"5036","SIENA CAFE","1580","3RD AVE",10128,"Italian"
"5037","EPISTROPHY CAFE","200","MOTT STREET",10012,"Italian"
"5038","SASHIMI EXPRESS","354","E 78TH ST",10075,"Japanese"
"5039","LITTLE ATLAS CAFE","6","WEST    4 STREET",10012,"Caf̩/Coffee/Tea"
"5040","STARBUCKS COFFEE #28171","375","PEARL ST",10038,"American"
"5041","VS BERRY","577","ISHAM ST",10034,"American"
"5042","BLUE RIBBON SUSHI IZAKAYA","187","ORCHARD STREET",10002,"Japanese"
"5043","PAPATZUL","55","GRAND STREET",10013,"Mexican"
"5044","LATIN BITES","419","E 70TH ST",10021,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"5045","PARK ITALIAN GOURMET","60","WEST   45 STREET",10036,"Italian"
"5046","STELLA'S PIZZA","110","9 AVENUE",10011,"Pizza"
"5047","PIERRE LOTI MIDTOWN","30012","EAST   52 STREET",10022,"Mediterranean"
"5048","CHEZ NAPOLEAN","365","WEST   50 STREET",10019,"French"
"5049","INSOMNIA COOKIES","482","3 AVENUE",10016,"Bakery"
"5050","MCDONALD'S","404","EAST   14 STREET",10009,"Hamburgers"
"5051","LEFTFIELD","87","LUDLOW STREET",10002,"American"
"5052","STAGE DOOR DELI","26","VESEY STREET",10007,"Delicatessen"
"5053","PIZZA STOP","531","LENOX AVENUE",10037,"Pizza/Italian"
"5054","RAI RAI KEN","218","EAST   10 STREET",10003,"Japanese"
"5055","OLMA LOUNGE & BAR","420","AMSTERDAM AVE",10024,"Tapas"
"5056","P & S DELI GROCERY","730","COLUMBUS AVENUE",10025,"American"
"5057","GLASER'S BAKERY","1670","1 AVENUE",10128,"Bakery"
"5058","FAMOUS FAMIGLIA PIZZERIA","1398","MADISON AVENUE",10029,"Pizza"
"5059","BANGIA","11","E 32ND ST",10016,"Korean"
"5060","LILY'S BAR @ ROGER SMITH HOTEL","501","LEXINGTON AVENUE",10017,"American"
"5061","HER NAME IS HAN","17","E 31ST ST",10016,"Korean"
"5062","UNDER THE BRIDGE","1079","1ST AVE",10022,"Greek"
"5063","PROVOCATEUR NIGHT CLUB","18","9 AVENUE",10014,"American"
"5064","SANT AMBROEUS","265","LAFAYETTE STREET",10012,"Italian"
"5065","DO HWA","55","CARMINE STREET",10014,"Korean"
"5066","MEXIKOSHER NYC","100","W 83RD ST",10024,"Jewish/Kosher"
"5067","CAFE AMRITA","301","WEST  110 STREET",10026,"American"
"5068","O'REILLY'S OFF FIFTH","21","WEST   35 STREET",10001,"American"
"5069","LOTUS BLUE DONGTIAN KITCHEN BAR","15","UNION SQ W",10003,"Chinese"
"5070","A-1 PIZZA SHOP","505","GRAND STREET",10002,"Pizza"
"5071","DUNKIN' DONUTS","139","CENTRE STREET",10013,"Caf̩/Coffee/Tea"
"5072","HI FI","169","AVENUE A",10009,"American"
"5073","RADIO STAR","3","WEST 35 STREET",10001,"American"
"5074","NEW KIM TONG","1722","AMSTERDAM AVE",10031,"Chinese"
"5075","MI GARBA","129","4TH AVE",10003,"Italian"
"5076","ELMO","156","7 AVENUE",10011,"American"
"5077","THE MUSKET ROOM","265","ELIZABETH ST",10012,"American"
"5078","MOKJA","1663","1ST AVE",10028,"Korean"
"5079","PICK & EAT","4179","BROADWAY",10033,"American"
"5080","PEPOLINO","281","WEST BROADWAY",10013,"Italian"
"5081","CHIPOTLE MEXICAN GRILL","404","BROADWAY",10013,"Mexican"
"5082","AJISEN RAMEN","14","MOTT STREET",10013,"Japanese"
"5083","BARNEY BROWN","822","AVENUE OF THE AMERICAS",10001,"American"
"5084","HUDSON THEATRE","139","W 44TH ST",10036,"American"
"5085","ARTICHOKE BASILLE'S PIZZA & BAR","457","WEST   17 STREET",10011,"Pizza/Italian"
"5086","JOE'S GINGER RESTAURANT","25","PELL STREET",10013,"Chinese"
"5087","AGUA ROJA BAR & LOUNGE","212","NAGLE AVENUE",10034,"Spanish"
"5088","MILK N' HONEY","22","W 45TH ST",10036,"Jewish/Kosher"
"5089","JOE-THE ART OF COFFEE","9","EAST   13 STREET",10003,"Caf̩/Coffee/Tea"
"5090","PREMIER CAFE","856","7 AVENUE",10019,"American"
"5091","BLUE BOTTLE COFFEE","54","W 40TH ST",10018,"Caf̩/Coffee/Tea"
"5092","VESUVIO BAKERY","160","PRINCE STREET",10012,"Bakery"
"5093","PEARLS","794","AMSTERDAM AVE",10025,"Chinese"
"5094","FRESHARK JUICE BAR & GRILL","1026","2ND AVE",10022,"Sandwiches/Salads/Mixed Buffet"
"5095","GOTHAM PIZZA","1667","1 AVENUE",10028,"Pizza"
"5096","ABBEY TAVERN","354","3 AVENUE",10010,"American"
"5097","QUAN SUSHI & GRILL","375","BROOME ST",10013,"Japanese"
"5098","SERENATA","111","W 17TH ST",10011,"Mexican"
"5099","DIM SUM VIP","68","MOTT ST",10013,"Chinese"
"5100","SAKANAYA","304","E 49TH ST",10017,"Japanese"
"5101","MCDONALD'S","541","6TH AVE",10011,"Hamburgers"
"5102","AKI SUSHI","1531","YORK AVE",10028,"Japanese"
"5103","PYRAMID","101","AVENUE A",10009,"American"
"5104","UMAMI BURGER","356","WEST   58 STREET",10019,"American"
"5105","SAMMY'S NOODLE SHOP & GRILL","453461","6 AVENUE",10011,"Chinese"
"5106","BROWNIE'S CAFE AT COLUMBIA","1172","AMSTERDAM AVENUE",10027,"Sandwiches/Salads/Mixed Buffet"
"5107","GINGER & LEMONGRASS LES","153","RIVINGTON ST",10002,"Vietnamese/Cambodian/Malaysia"
"5108","DECCAN SPICE","120","LEXINGTON AVE",10016,"Indian"
"5109","KO-SUSHI JAPANESE RESTAURANT","1619","YORK AVENUE",10028,"Japanese"
"5110","AUGUSTINE","5","BEEKMAN ST",10038,"American"
"5111","OLYMPIA DELI & JUICE","761","AVENUE OF THE AMERICAS",10010,"American"
"5112","FAMOUS FAMIGLIA PIZZERIA","2859","BROADWAY",10025,"Pizza"
"5113","DEL FRISCO'S GRILLE","200","VESEY ST",10281,"American"
"5114","THE ALLIE WAY SPORTS BAR & GRILL","413","EAST   70 STREET",10021,"American"
