lon,lat,url,city,zip,address1,name,tel,addres2
-73.99061841,40.75985115,http://www.theatermania.com/new-york/theaters/45th-street-theatre_2278/,New York,10036,354 West 45th Street,45th Street Theater,(212) 352-3101,
-73.98810595,40.76047123,http://www.bestofoffbroadway.com/theaters/47streettheatre.html,New York,10036,304 West 47th Street,47th Street Theater,(800) 775-1617,
-73.9703845,40.76339943,http://www.59e59.org/,New York,10022,59 East 59th Street,5.90E+60,(212) 753-5959,
-73.99332385,40.75853668,http://www.theatrerow.org/theacorn.htm,New York,10036,410 West 42nd Street,Acorn Theater,(212) 279-4200,
-73.98921433,40.75926091,http://www.newyorkcitytheatre.com/theaters/alhirschfeldtheater/theater.php,New York,10036,302 W 45th Street,Al Hirschfeld Theater,(212) 239-6200,
-73.98500141,40.76125861,http://www.shubertorganization.com/theatres/ambassador.asp,New York,10019,219 West 49th Street,Ambassador Theatre,(800) 432-7565,
-73.98804924,40.75677874,http://www.newyorkcitytheatre.com/theaters/americanairlinestheater/theater.php,New York,10036,227 W 42nd Street,American Airlines Theatre,(212) 719-9393,
-73.95003984,40.81003732,http://www.apollotheater.org/,New York,10027,253 West 125th Street,Apollo Theater,(212) 531-5300,
-73.98121029,40.77711991,http://www.nytheatre.com/nytheatre/arclight.htm,New York,10023,152 W 71st St,Arclight Theatre,(212) 595-0355,
-73.99234386,40.72937741,http://www.newyorkcitytheatre.com/theaters/astorplacetheater/theater.php,New York,10003,434 Lafayette St,Astor Place Theatre,(212) 254-4370,Frnt
-74.00155441,40.74388769,http://www.atlantictheater.org/,New York,10011,336 W 20th St,Atlantic Theatre,(212) 645-1242,
-73.98419954,40.76337196,http://www.newyorkcitytheatre.com/theaters/augustwilsontheater/theater.php,New York,10019,245 W 52nd Street,August Wilson Theatre,(212) 239-6200,
-74.00308826,40.73232948,http://www.barrowstreettheatre.com/index.asp,New York,10014,27 Barrow St,Barrow Street Theatre,(212) 243-6262,
-73.98099284,40.78056073,http://www.beacontheatre.com/,New York,10023,2124 Broadway,Beacon Theatre,(212) 465-6500,
-73.98378604,40.75665277,http://www.shubertorganization.com/theatres/belasco.asp,New York,10036,111 W 44th St,Belasco Theatre,(212) 944-3700,
-73.98772366,40.75862947,http://www.shubertorganization.com/theatres/bernard_b_jacobs.asp,New York,10036,242 W 45th Street,Bernard B. Jacobs Theatre,(212) 944-3700,
-73.99417513,40.72595305,http://www.45bleecker.com/,New York,10012,45 Bleecker Street,Bleecker Street Theater,(212) 260-8250,
-73.98708846,40.75837297,http://www.shubertorganization.com/theatres/booth.asp,New York,10036,222 W 45th St,Booth Theatre,(212) 944-3700,
-73.98762266,40.75826441,http://www.shubertorganization.com/theatres/broadhurst.asp,New York,10036,235 W 44th St,Broadhurst Theatre,(212) 944-3700,
-73.98335055,40.7632702,http://www.shubertorganization.com/theatres/broadway.asp,New York,10019,1681 Broadway,Broadway Theatre,(212) 944-3700,
-73.98698343,40.75995785,http://www.brooksatkinsontheater.com/,New York,10036,256 W 47th St,Brooks Atkinson Theatre,(212) 719-4099,
-73.99696366,40.76060535,http://www.castillo.org/,New York,10036,543 West 42nd Street,Castillo Theater,(212) 941-9400,
-73.98888987,40.73516748,http://www.theatermania.com/new-york/theaters/century-center-for-the-performing-arts_59/,New York,10003,111 E 15th St,Century Center For the Performing Arts,(212) 239-6200,
-74.00531119,40.73126211,http://cherrylanetheatre.org/,New York,10014,38 Commerce Street,Cherry Lane Theatre,(212) 989-2020?,
-73.98454847,40.76202946,http://www.circlesquare.org/,New York,10019,1633 Broadway,Circle In the Square Theatre,(212) 307-0388,
-73.98361168,40.72357459,http://www.connellycenter.org/theatre.htm,New York,10009,220 E 4th St,Connelly Theater,(212) 982-2287,
