"","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION"
"2401","DOMINO'S","1993","THIRD AVENUE",10029,"Pizza"
"2402","OAXACA TAQUERIA","405","W 44TH ST",10036,"Mexican"
"2403","44TH STREET MINAR","160","EAST   44 STREET",10017,"Indian"
"2404","VIVE LA CREPE","1W","59TH ST",10019,"French"
"2405","TANOSHI TEI","1374","YORK AVE",10021,"Japanese"
"2406","LE POISSON ROUGE","158","BLEECKER STREET",10012,"French"
"2407","TEREMOK","358","7TH AVE",10001,"Russian"
"2408","MULDOONS BAR","692","3 AVENUE",10017,"Irish"
"2409","B & H RESTAURANT","127","SECOND AVENUE",10003,"Vegetarian"
"2410","GREAT WALL RESTAURANT","384","GRAND ST",10002,"Chinese"
"2411","MOTHER'S RUIN","18","SPRING STREET",10012,"American"
"2412","RAI RAI KEN","1467","AMSTERDAM AVE",10027,"Japanese"
"2413","DA NICO RESTAURANT","164","MULBERRY STREET",10013,"Italian"
"2414","THE LIBRARY","7","AVENUE A",10009,"Bottled beverages, including water, sodas, juices, etc."
"2415","ANCHOR HEIGHTS","575","W 207TH ST",10034,"Italian"
"2416","Caf̩ Medi/ Jia Lounge","107","RIVINGTON STREET",10002,"American"
"2417","WA JEAL","1588","2 AVENUE",10028,"Chinese"
"2418","TONY'S DI NAPOLI","147","WEST 43RD STREET",10036,"Italian"
"2419","PICK-A-BAGEL","297","3 AVENUE",10010,"Bagels/Pretzels"
"2420","LAS RAMBLAS","170","WEST    4 STREET",10014,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"2421","AURORA SOHO","510","BROOME STREET",10013,"Italian"
"2422","AGERN","89","E 42ND ST",10017,"American"
"2423","MAOZ VEGETARIAN","38","UNION SQUARE EAST",10003,"Vegetarian"
"2424","DISHES","399","PARK AVENUE",10022,"American"
"2425","WEST SIDE CAFE AND PIZZA","218","W 72ND ST",10023,"American"
"2426","EL RIO GRANDE","160","EAST   38 STREET",10016,"Mexican"
"2427","BOUNCE","55","WEST   21 STREET",10010,"American"
"2428","SLATTERY'S MIDTOWN PUB","8","EAST   36 STREET",10016,"American"
"2429","THE PONY BAR","1444","1 AVENUE",10021,"American"
"2430","PETALUMA","1356","1 AVENUE",10021,"Italian"
"2431","GRAND HAVANA ROOM","666","5 AVENUE",10019,"American"
"2432","THE WATER CLUB","500","EAST   30 STREET",10016,"Seafood"
