"","CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE.DESCRIPTION","INSPECTION.DATE","ACTION","VIOLATION.CODE","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE","RECORD.DATE","INSPECTION.TYPE"
"1",41441928,"NEW DOUBLE DRAGON","MANHATTAN","37","1 AVENUE","10003","2125980730","Chinese",42660,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",11,"A",42660,43138,"Cycle Inspection / Initial Inspection"
"2",50003527,"CHAPATI HOUSE","MANHATTAN","3153","BROADWAY","10027","2127497200","Indian",42537,"Violations were cited in the following area(s).","09C","Food contact surface not properly maintained.","Not Critical",11,"A",42537,43138,"Cycle Inspection / Re-inspection"
"3",41549472,"FEI TENG RESTAURANT","MANHATTAN","68","EAST BROADWAY","10002","2122748659","Chinese",43045,"Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",25,"B",43045,43138,"Cycle Inspection / Re-inspection"
"4",41509061,"THE JUNCTION","MANHATTAN","329","LEXINGTON AVENUE","10016","2126827700","American",42577,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",47,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"5",50044253,"RUFFIAN WINE BAR","MANHATTAN","125","E 7TH ST","10009","2127770855","Continental",42534,"Violations were cited in the following area(s).","15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees.","Not Critical",NA,NA,NA,43138,"Smoke-Free Air Act / Initial Inspection"
"6",41031707,"LA BOITE EN BOIS","MANHATTAN","75","WEST   68 STREET","10023","2128742705","French",41985,"Violations were cited in the following area(s).","09B","Thawing procedures improper.","Not Critical",12,"A",41985,43138,"Cycle Inspection / Re-inspection"
"7",41689361,"ANDY'S DELI","MANHATTAN","291","BROADWAY","10007","2122274111","American",41837,"Establishment re-opened by DOHMH","04M","Live roaches present in facility's food and/or non-food areas.","Critical",9,"P",41837,43138,"Cycle Inspection / Reopening Inspection"
"8",50068423,"NUTS.COM","MANHATTAN","2","PENN STATION","10119","9179745957","Not Listed/Not Applicable",42998,"Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",4,"A",42998,43138,"Pre-permit (Operational) / Initial Inspection"
"9",50064190,"FRESH & CO","MANHATTAN","261-267","CANAL ST","10013","2128670053","American",43132,"Violations were cited in the following area(s).","16E","Caloric content range (minimum to maximum) not posted on menus and or menu boards for each flavor, variety and size of each menu item that is offered for sale in different flavors, varieties and sizes.","Not Critical",NA,NA,NA,43138,"Calorie Posting / Initial Inspection"
"10",40389994,"POMODORO RISTORANTE","MANHATTAN","51","SPRING STREET","10012","2129669229","Pizza/Italian",41837,"Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",69,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"11",41117795,"HAVANA CENTRAL","MANHATTAN","151","WEST   46 STREET","10036","2123987440","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",42195,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,"A",42195,43138,"Cycle Inspection / Initial Inspection"
"12",41632866,"CITY CAFE","MANHATTAN","35","WEST   43 STREET","10036","2127640444","Delicatessen",42783,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",16,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"13",50039077,"STOUT","MANHATTAN","60","E 41ST ST","10017","2129229009","American",42845,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",11,"A",42845,43138,"Cycle Inspection / Initial Inspection"
"14",50043715,"PAT LAFRIEDA MEAT PURVEYORS","MANHATTAN","2","PENN PLZ","10121","2122796328","Sandwiches",42864,"Violations were cited in the following area(s).","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.","Critical",10,"A",42864,43138,"Cycle Inspection / Re-inspection"
"15",50008575,"SHANGHAI ASIAN CUISINE","MANHATTAN","14A","ELIZABETH ST","10013","2129645640","Chinese",43103,"Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",59,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"16",41217572,"JACK'S STIR BREW COFFEE","MANHATTAN","222","FRONT STREET","10038","2122277631","CafÃ©/Coffee/Tea",42335,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",9,"A",42335,43138,"Cycle Inspection / Initial Inspection"
"17",41668582,"ESSEN","MANHATTAN","290","MADISON AVENUE","10017","2126890800","American",41936,"Violations were cited in the following area(s).","10D","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.","Not Critical",2,"A",41936,43138,"Cycle Inspection / Re-inspection"
"18",40402397,"THE RIVER CLUB","MANHATTAN","447","EAST   52 STREET","10022","2127510100","American",41981,"Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",52,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"19",50047230,"CHIRPING CHICKEN","MANHATTAN","587","9TH AVE","10036","2122447334","Chicken",42492,"Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",12,"A",42492,43138,"Pre-permit (Operational) / Re-inspection"
"20",40806208,"PAUL WEISS RIFKIN WHARTON","MANHATTAN","1285","6 AVENUE","10019","2123732423","American",42377,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",17,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"21",50037955,"BUFFALO BOSS","MANHATTAN","17","W 125TH ST","10027","7189230800","Chicken",42975,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",8,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"22",40424437,"CAPRI BAKERY","MANHATTAN","186","EAST  116 STREET","10029","2124101876","Bakery",42076,"Violations were cited in the following area(s).","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",11,"A",42076,43138,"Cycle Inspection / Initial Inspection"
"23",40565973,"BAR VIRAGE","MANHATTAN","118","2 AVENUE","10003","2122530425","American",41858,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",11,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"24",40664122,"PHILLIP MARIE","MANHATTAN","569","HUDSON STREET","10014","2122426200","American",41870,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A",41870,43138,"Cycle Inspection / Re-inspection"
"25",41110390,"YIP'S RESTAURANT/JUICE VITALITY","MANHATTAN","18","BEAVER STREET","10004","2124809010","Asian",43087,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",21,"B",43087,43138,"Cycle Inspection / Re-inspection"
"26",50001406,"RESERVE CUT","MANHATTAN","40","BROAD ST","10004","2127470300","Jewish/Kosher",42516,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",16,NA,NA,43138,"Cycle Inspection / Initial Inspection"
