"","License.Serial.Number","License.Type.Name","License.Class.Code","License.Type.Code","Agency.Zone.Office.Name","Agency.Zone.Office.Number","County.Name..Licensee.","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","License.Certificate.Number","License.Original.Issue.Date","License.Effective.Date","License.Expiration.Date","Latitude","Longitude","Location"
"14",1024070,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","WALTERS BAR INC","","389 8TH AVE","","NEW YORK","NY","10001",868120,"12/13/1988","12/01/2016","11/30/2018",40.74926322,-73.99565286,"(40.74926322, -73.99565286)"
"15",1024071,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","WALTPETERICH RESTAURANT INC","FOLEYS NY PUB  & RESTAURANT","18 W 33RD STREET","","NEW YORK","NY","10001",865318,"02/12/2004","10/01/2016","09/30/2018",40.74795438,-73.9856276,"(40.74795438, -73.9856276)"
"16",1024091,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","34TH STREET DINER INC","TRATTORIA BIANCA","481 8TH AVE","STORE 2","NEW YORK","NY","10001",879095,"10/21/1996","10/01/2017","09/30/2019",NA,NA,""
"17",1024092,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","350 SEVENTH AVE REST CORP","","350 7TH AVE","","NEW YORK","NY","10001",859614,"05/04/2000","05/01/2016","04/30/2018",40.74810983,-73.99279725,"(40.74810983, -73.99279725)"
"18",1024093,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","352 RESTAURANT CORP","","352 7TH AVENUE","","NEW YORK","NY","10001",881942,"10/06/1995","10/01/2017","09/30/2019",40.74816375,-73.99275878,"(40.74816375, -73.99275878)"
"19",1024098,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","400 WEST 23RD STREET REST CORP","THE RAIL LINE DINER","400 W 23RD STREET","","NEW YORK","NY","10011",872517,"05/06/1998","03/08/2017","02/28/2019",40.74652105,-74.00140652,"(40.74652105, -74.00140652)"
"20",1024099,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","402 EIGHTH AVENUE REST INC","MOLLY WEE PUB","402 8TH AVENUE","","NEW YORK","NY","10001",871431,"03/01/1981","03/01/2017","02/28/2019",40.74965511,-73.99520786,"(40.74965511, -73.99520786)"
"21",1024113,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","COCKTAIL BLUE LLC","THE BOWERY BALLROOM","6 8 DELANCEY STREET","","NEW YORK","NY","10002",873515,"","05/01/2017","04/30/2019",40.7370191,-74.00531463,"(40.7370191, -74.00531463)"
"22",1024128,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","PASTA & POTATOES INC","VILLAGE LANTERN","167 BLEECKER ST","","NEW YORK","NY","10002",860486,"05/27/1997","05/11/2016","04/30/2018",40.72877952,-74.00026563,"(40.72877952, -74.00026563)"
"23",1024131,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","JACOB & KELLY INC","BOB BAR","235 ELDRIDGE ST","","NEW YORK","NY","10002",881015,"12/06/1999","12/18/2017","11/30/2019",40.72234371,-73.98988335,"(40.72234371, -73.98988335)"
"24",1024132,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","RIVINGTON CAFE CORP","WELCOME TO THE JOHNSON'S","123 RIVINGTON STREET","","NEW YORK","NY","10002",868711,"06/25/2012","12/01/2016","11/30/2018",40.71971097,-73.98735093,"(40.71971097, -73.98735093)"
"25",1024134,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","S W MONTE INC","THE MERCURY LOUNGE","217 E HOUSTON ST","","NEW YORK","NY","10002",880163,"12/05/2011","01/01/2018","12/31/2019",40.72227382,-73.98678562,"(40.72227382, -73.98678562)"
"26",1024136,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SAFF INC","SAPPHIRE LOUNGE","249 ELDRIDGE STREET","","NEW YORK","NY","10002",876789,"08/02/1995","08/01/2017","07/31/2019",40.72250163,-73.98980263,"(40.72250163, -73.98980263)"
"27",1024140,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","STERLING PARKSIDE CORP","PARKSIDE LOUNGE","317 E HOUSTON STREET","","NEW YORK","NY","10002",874024,"05/13/1996","05/01/2017","04/30/2019",40.72111278,-73.9830715,"(40.72111278, -73.9830715)"
"28",1024141,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SWOON CORP","THE WHISKEY WARD","121 ESSEX ST","","NEW YORK","NY","10002",881073,"12/30/1999","02/01/2018","01/31/2020",40.71948277,-73.98778949,"(40.71948277, -73.98778949)"
"29",1024159,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","95 STANTON STREET REST INC","ARLENE'S GROCERY","95 STANTON ST","","NEW YORK","NY","10002",882690,"12/24/2008","11/01/2017","10/31/2019",40.72132112,-73.98827634,"(40.72132112, -73.98827634)"
"30",1024163,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","A T WEST 16TH ENTERPRISES LTD","CAMPEON","9 11 EAST 16TH STREET","","NEW YORK","NY","10003",864261,"08/21/1988","08/01/2016","07/31/2018",40.73728702,-73.99242225,"(40.73728702, -73.99242225)"
"31",1024164,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ABC HOME FURNISHINGS INC & VONGERICHTEN/SUAREZ LLC","PARLOUR CAFE","38 E 19TH STREET","","NEW YORK","NY","10003",864919,"04/04/1997","08/03/2016","07/31/2018",40.73826795,-73.9896043,"(40.73826795, -73.9896043)"
"32",1024166,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ALLEGRA ALLEGRA INC","LA LINEA","15 1ST AVENUE","","NEW YORK","NY","10003",859038,"09/29/2008","05/01/2016","04/30/2018",40.7234282,-73.98839389,"(40.7234282, -73.98839389)"
"33",1024183,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","BEAU MAISON CORP","EL CANTINERO","86 UNIVERSITY PLACE","","NEW YORK","NY","10003",858084,"","03/01/2016","02/28/2018",40.73353233,-73.99318768,"(40.73353233, -73.99318768)"
"34",1024187,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","BLUE & GOLD BAR INC","","79 E 7TH STREET","GROUND FLOOR STORE","NEW YORK","NY","10003",878033,"","09/01/2017","08/31/2019",40.72727561,-73.9863089,"(40.72727561, -73.9863089)"
"35",1024211,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","DIFT LLC AND SWEET HOSPITALITY GROUP","DARYL ROTH THEATER","20 UNION SQUARE EAST","","NEW YORK","NY","10003",877860,"09/14/1998","09/01/2017","08/31/2019",40.73605976,-73.98921107,"(40.73605976, -73.98921107)"
"36",1024224,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","FELLOW TRAVELERS LTD","THREE OF CUPS","83 1ST AVENUE","","NEW YORK","NY","10003",866375,"12/01/1992","12/01/2016","11/30/2018",40.72582284,-73.98665506,"(40.72582284, -73.98665506)"
"37",1024232,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","GARDEN CAFE ASSOC LP SULCATA CORP GP & 3LPS","B BAR & GRILL","40 EAST 4TH ST","","NEW YORK","NY","10003",865675,"01/09/2008","09/01/2016","08/31/2018",40.72718816,-73.99191321,"(40.72718816, -73.99191321)"
"38",1024242,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","HASAKI RESTAURANT INC","","210 E 9TH STREET","","NEW YORK","NY","10003",857930,"","03/01/2016","02/28/2018",40.72974677,-73.98869783,"(40.72974677, -73.98869783)"
"39",1024243,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","HAVELI RESTAURANT INC","","100 2ND AVENUE","","NEW YORK","NY","10003",878734,"","09/01/2017","08/31/2019",40.72725599,-73.98856047,"(40.72725599, -73.98856047)"
"40",1024247,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","HUNG TA CORP","LE ZEN CAFE","31 ST MARKS PLACE","","NEW YORK","NY","10003",877788,"10/12/1984","10/01/2017","09/30/2019",40.72882025,-73.98805834,"(40.72882025, -73.98805834)"
"41",1024260,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","12 EAST 12 ASSOCIATES LP","GOTHAM BAR & GRILL","12 E 12TH STREET","","NEW YORK","NY","10003",871432,"02/28/2003","03/01/2017","02/28/2019",40.73435415,-73.99398792,"(40.73435415, -73.99398792)"
"42",1024261,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","JIM GILES CORP","THE CENTRAL BAR","109 E 9TH STREET","","NEW YORK","NY","10003",875871,"02/07/1996","08/01/2017","07/31/2019",40.73041861,-73.99002286,"(40.73041861, -73.99002286)"
"43",1024266,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","JUDEX ENTERPRISES INC","PANGEA","178 2ND AVENUE","","NEW YORK","NY","10003",879640,"12/20/2017","12/20/2017","08/31/2019",40.73052453,-73.9861972,"(40.73052453, -73.9861972)"
"44",1024270,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","KANAE INC","","11 ST MARKS PLACE","","NEW YORK","NY","10003",860557,"06/09/1997","06/01/2016","05/31/2018",40.7293109,-73.98922682,"(40.7293109, -73.98922682)"
"45",1024275,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","KRAINE GALLERY BAR INC","K G B BAR","85 E 4TH STREET","","NEW YORK","NY","10003",873088,"04/08/1993","04/01/2017","03/31/2019",40.72651154,-73.9900631,"(40.72651154, -73.9900631)"
"46",1024283,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","LEX 18 INC","YAKITORI TAISHO","5 ST MARKS PLACE","BASEMENT","NEW YORK","NY","10003",871961,"02/14/1996","02/22/2017","01/31/2019",40.72946002,-73.98957625,"(40.72946002, -73.98957625)"
"47",1024286,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","LONGFORD INC","BAR NONE","98 3RD AVE","","NEW YORK","NY","10003",872376,"","03/03/2017","02/28/2019",40.73237172,-73.98791217,"(40.73237172, -73.98791217)"
"48",1024300,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ME KONG DELTA INC","REPUBLIC","37A UNION SQUARE WEST","","NEW YORK","NY","10003",882965,"11/03/1995","11/01/2017","10/31/2019",40.73662014,-73.99078147,"(40.73662014, -73.99078147)"
"49",1024301,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MEATH TRAILS INC","THE GRAY MARE","61 2ND AVENUE","","NEW YORK","NY","10003",868397,"08/23/2016","01/01/2017","12/31/2018",40.72594851,-73.98968004,"(40.72594851, -73.98968004)"
"50",1024305,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MERLAGRE INC","PAUL & JIMMYS RESTAURANT","123 EAST 18TH ST","","NEW YORK","NY","10003",859548,"","05/01/2016","04/30/2018",40.73657265,-73.98708533,"(40.73657265, -73.98708533)"
"51",1024312,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MSD ENTERPRISES INC","VIRAGE","118 2ND AVENUE","","NEW YORK","NY","10003",874010,"05/07/2015","05/01/2017","04/30/2019",40.72796845,-73.98804232,"(40.72796845, -73.98804232)"
"52",1024316,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","N Y RESTAURANT SUPPLIES INC","PANYA","29 3RD AVE","8 10 12 STUYVESANT ST","NEW YORK","NY","10003",880659,"06/02/2011","01/01/2018","12/31/2019",40.72979939,-73.98970383,"(40.72979939, -73.98970383)"
"53",1024317,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","NEW YORK SHAKESPEARE FESTIVAL & JOES PUB LLC/ MGR","","425 LAFAYETTE ST","NORTH STORE","NEW YORK","NY","10003",869138,"","01/01/2017","12/31/2018",40.72905988,-73.99212097,"(40.72905988, -73.99212097)"
"54",1024325,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","P P K BAR & RESTAURANT INC","ST MARK'S ALE HOUSE","2 ST MARKS PLACE","","NEW YORK","NY","10003",878167,"05/03/2011","08/11/2017","07/31/2019",40.7294747,-73.98988435,"(40.7294747, -73.98988435)"
"55",1024327,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","PAPI LUIS CORP","ANYWAY CAFE","32 34 E 2ND STREET","","NEW YORK","NY","10003",864032,"","07/01/2016","06/30/2018",40.72513303,-73.99070171,"(40.72513303, -73.99070171)"
"56",1024330,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","PATAIDEN FOOD & DRINK INC","MAGUIRES PUB","237 3RD AVENUE","","NEW YORK","NY","10003",877641,"09/28/1995","09/01/2017","08/31/2019",40.73677787,-73.9845556,"(40.73677787, -73.9845556)"
"57",1024348,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","REQUISITE BOOTIE INC","LUCIEN","14 1ST AVENUE","","NEW YORK","NY","10009",874260,"04/30/1999","05/01/2017","04/30/2019",40.72336533,-73.98827436,"(40.72336533, -73.98827436)"
"58",1024351,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ROSS KELLY INC","FISH BAR","237 E 5TH ST","","NEW YORK","NY","10003",883387,"","12/01/2017","11/30/2019",40.72739114,-73.99044109,"(40.72739114, -73.99044109)"
"59",1024355,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SHARAKU INC","","14-16 STUYVESANT ST","","NEW YORK","NY","10003",883018,"","12/01/2017","11/30/2019",40.72987402,-73.98919311,"(40.72987402, -73.98919311)"
"60",1024356,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SILVET RESTAURANT CORP","IL CANTINORI","32 E 10TH STREET","","NEW YORK","NY","10003",881711,"10/18/1983","10/01/2017","09/30/2019",40.73244475,-73.99328944,"(40.73244475, -73.99328944)"
"61",1024362,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SOUTH CHINA SEA REST CO INC","INDOCHINE","430 LAFAYETTE STREET","","NEW YORK","NY","10003",875452,"","06/01/2017","05/31/2019",40.7294143,-73.9919059,"(40.7294143, -73.9919059)"
"62",1024364,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","STEEPLECHASE INC","PARK BAR","19 E 15TH ST","","NEW YORK","NY","10003",882973,"11/10/2009","11/01/2017","10/31/2019",40.73656952,-73.99269678,"(40.73656952, -73.99269678)"
"63",1024379,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","CLOISTER EAST INC,THE","CLOISTER CAFE","238 E 9TH STREET","","NEW YORK","NY","10003",876658,"08/25/1987","08/01/2017","07/31/2019",40.7295532,-73.98824818,"(40.7295532, -73.98824818)"
"64",1024383,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SCRATCHER CAFE INC,THE","","209 EAST 5TH ST","","NEW YORK","NY","10003",872786,"","04/01/2017","03/31/2019",40.72769585,-73.99102569,"(40.72769585, -73.99102569)"
"65",1024384,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","WATERING HOLE OF 2ND AVE CORP,THE","THE QUEEN VIC","68 2ND AVENUE","","NEW YORK","NY","10003",868077,"12/11/1998","11/01/2016","10/31/2018",40.72606708,-73.98942692,"(40.72606708, -73.98942692)"
"66",1024390,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TOKYO MAMA INC","","240 E 9TH STREET","","NEW YORK","NY","10003",868048,"12/12/1998","12/01/2016","11/30/2018",40.72953998,-73.98821747,"(40.72953998, -73.98821747)"
"67",1024391,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TOMI NEW YORK INC","","239 E 53RD ST","","NEW YORK","NY","10022",876809,"08/06/1996","08/01/2017","07/31/2019",40.75736695,-73.96846938,"(40.75736695, -73.96846938)"
"68",1024392,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TOMKIN SQUARE KIDS INC","BIG BAR","73 75 E 7TH STREET","","NEW YORK","NY","10003",874179,"04/11/1995","05/01/2017","04/30/2019",0,0,"(0.0, 0.0)"
"69",1024394,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TWO AND EIGHT GOURMET LTD","DALLAS BBQ","132 2ND AVENUE","","NEW YORK","NY","10003",869800,"02/23/1989","02/01/2017","01/31/2019",40.72858918,-73.98759797,"(40.72858918, -73.98759797)"
"70",1024403,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","VANESSA REALTY CORP","CUCINA DE PESCE","87 E 4TH STREET","","NEW YORK","NY","10003",864942,"07/18/1997","08/03/2016","07/31/2018",40.72647485,-73.9899749,"(40.72647485, -73.9899749)"
"71",1024404,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","W C O U RADIO INC","THE TILE BAR","115 1ST AVENUE","","NEW YORK","NY","10003",876403,"11/04/1985","09/01/2017","08/31/2019",40.72701787,-73.98579015,"(40.72701787, -73.98579015)"
"72",1024413,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","YERINA RESTAURANT CORP","ARTE RESTAURANT","21 E 9TH STREET","","NEW YORK","NY","10003",864022,"08/04/2008","08/01/2016","07/31/2018",40.73233199,-73.99454899,"(40.73233199, -73.99454899)"
"73",1024414,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TSAMPA INC","212 HISAE'S","212 E 9TH ST","","NEW YORK","NY","10003",881224,"02/28/1997","02/01/2018","01/31/2020",40.72977291,-73.98861196,"(40.72977291, -73.98861196)"
"74",1024418,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SHADES OF GREEN LLC","","125 E 15TH STREET","","NEW YORK","NY","10003",876472,"07/12/1990","07/07/2017","06/30/2019",40.73463946,-73.98813221,"(40.73463946, -73.98813221)"
"75",1024419,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","129 EAST 15TH BAR CORP","","129 E 15TH ST","","NEW YORK","NY","10003",859526,"04/21/1997","04/04/2016","03/31/2018",40.73455833,-73.98808868,"(40.73455833, -73.98808868)"
"76",1024422,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","155 SECOND AVE REST INC","THE THIRSTY SCHOLAR","155 2ND AVENUE","","NEW YORK","NY","10003",864016,"","07/01/2016","06/30/2018",40.72954208,-73.98707545,"(40.72954208, -73.98707545)"
"77",1024431,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","29 ST MARKS PLACE REST INC","BULL MCCABES","29 ST MARKS PLACE","","NEW YORK","NY","10003",879026,"10/15/1996","10/01/2017","09/30/2019",40.72886895,-73.98817555,"(40.72886895, -73.98817555)"
"78",1024434,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","31 UNION SQUARE WEST LLC","BLUE WATER GRILL","31 UNION SQUARE WEST","","NEW YORK","NY","10003",872065,"03/13/1996","03/01/2017","02/28/2019",40.73657135,-73.99081796,"(40.73657135, -73.99081796)"
"79",1024455,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","EAST VILLAGE 4TH STREET CAFE INC","STILLWATERS BAR & GRILL","78 80 E 4TH STREET","","NEW YORK","NY","10003",881134,"01/11/2000","01/01/2018","12/31/2019",40.72652453,-73.99024474,"(40.72652453, -73.99024474)"
"80",1024461,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","9TH STREET VENTURE LTD","SOLAS","232 E 9TH STREET","","NEW YORK","NY","10003",874561,"06/09/1998","06/01/2017","05/31/2019",40.72959287,-73.98834034,"(40.72959287, -73.98834034)"
"81",1024474,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","FONTANA RESTAURANT CORP","JOSEPH'S","3 HANOVER SQUARE","","NEW YORK","NY","10004",863846,"05/24/1994","07/01/2016","06/30/2018",40.70482248,-74.00985194,"(40.70482248, -74.00985194)"
"82",1024479,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","OCINOMLED LTD","DELMONICO RESTAURANT","56 BEAVER ST","","NEW YORK","NY","10004",880228,"","12/01/2017","11/30/2019",40.70507183,-74.01011179,"(40.70507183, -74.01011179)"
"83",1024495,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","47 REALOPP CORP","TGI FRIDAYS","47 BROADWAY","AKA 23 TRINITY PLACE","NEW YORK","NY","10004",858407,"","05/01/2016","04/30/2018",40.70650202,-74.01282995,"(40.70650202, -74.01282995)"
"84",1024501,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","DONORE CORP","THE IRISH PUNT","40 EXCHANGE PLACE","","NEW YORK","NY","10005",874556,"05/22/1995","05/01/2017","04/30/2019",40.70588345,-74.01027512,"(40.70588345, -74.01027512)"
"85",1024506,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","RATHNALLY CORP","THE FULL SHILLING","160 PEARL ST","","NEW YORK","NY","10005",880313,"12/09/1999","12/01/2017","11/30/2019",40.70577284,-74.00772317,"(40.70577284, -74.00772317)"
"86",1024513,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","COPAT RESTAURANT INC","O'HARA'S RESTAURANT","120 CEDAR ST","AKA 137 GREENWICH STREET","NEW YORK","NY","10006",880126,"","01/01/2018","12/31/2019",40.7094278,-74.01222695,"(40.7094278, -74.01222695)"
"87",1024516,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","KEITH RESTAURANT INC","CHINA CHALET RESTAURANT","47 BROADWAY","","NEW YORK","NY","10006",876374,"07/17/1984","07/03/2017","06/30/2019",40.70650202,-74.01282995,"(40.70650202, -74.01282995)"
"88",1024542,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","CAPTAIN MIKES SEAFOOD REST INC","MUDVILLE 9","126 CHAMBERS STREET","","NEW YORK","NY","10007",871536,"","03/01/2017","02/28/2019",40.71524068,-74.00879475,"(40.71524068, -74.00879475)"
"89",1024555,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","MYRTLE FOOD BEVERAGES INC","TRIBECA TAVERN","15 6TH AVENUE","","NEW YORK","NY","10013",864635,"08/08/1997","08/01/2016","07/31/2018",40.71920686,-74.00522613,"(40.71920686, -74.00522613)"
"90",1024576,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","11 WAVERLY PUB LTD","JOSIE WOOD'S PUB","11 WAVERLY PLACE","","NEW YORK","NY","10007",873157,"04/23/1999","04/01/2017","03/31/2019",40.73002532,-73.99403492,"(40.73002532, -73.99403492)"
"91",1024603,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","CRAWFORD FLICK INC","","7 AVENUE A","","NEW YORK","NY","10009",876898,"08/14/1998","08/01/2017","07/31/2019",40.7224568,-73.98621161,"(40.7224568, -73.98621161)"
"92",1024604,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","CULLEN RESTAURANT INC","ST DYMPHNA'S","118 ST MARKS PLACE","","NEW YORK","NY","10009",880808,"04/06/2011","01/01/2018","12/31/2019",40.72725235,-73.9846485,"(40.72725235, -73.9846485)"
