"","Station.Name","Station.Latitude","Station.Longitude","zipcode"
"1","West 8th St",40.576127,-73.975939,11224
"2","Ocean Parkway",40.576312,-73.968501,11235
"3","Stillwell Av",40.577422,-73.981233,11224
"4","Brighton Beach",40.577621,-73.961376,11235
"5","Rockaway Park-Beach 116th",40.580903,-73.835592,11694
"6","Neptune Av-Van Siclen",40.581011,-73.974574,11224
"7","Beach 105th St",40.583209,-73.827559,11694
"8","Beach 98th St",40.585307,-73.820558,11694
"9","Sheepshead Bay",40.586896,-73.954155,11235
"10","Beach 90th St",40.588034,-73.813641,11693
"11","Bay 50th St",40.588841,-73.983765,11223
"12","Av X",40.58962,-73.97425,11223
"13","Beach 67th St",40.590927,-73.796924,11692
"14","Beach 60th St",40.592374,-73.788522,11691
"15","86th St",40.592721,-73.97823,11223
"16","Beach 44th St",40.592943,-73.776013,11691
"17","Neck Rd",40.595246,-73.955161,11229
"18","Beach 36th St",40.595398,-73.768175,11691
"19","Av U",40.596063,-73.973357,11223
"20","Av U",40.597473,-73.979137,11223
"21","25th Av",40.597704,-73.986829,11214
"22","Av U",40.5993,-73.955929,11229
"23","Beach 25th St",40.600066,-73.761353,11691
"24","Bay Parkway",40.601875,-73.993728,11214
"25","Kings Highway",40.603217,-73.972361,11223
"26","Kings Highway",40.603923,-73.980353,11223
"27","Far Rockaway-Mott Av",40.603995,-73.755405,11691
"28","20th Av",40.604556,-73.998168,11214
"29","18th Av",40.607954,-74.001736,11214
"30","Broad Channel",40.608382,-73.815925,11693
"31","Kings Highway",40.60867,-73.957734,11229
"32","Av P",40.608944,-73.973022,11230
"33","Bay Parkway-22nd Av",40.611815,-73.981848,11204
"34","79th St",40.613501,-74.00061,11214
"35","Av N",40.61514,-73.974197,11230
"36","95th St",40.616622,-74.030876,11209
"37","20th Av",40.61741,-73.985026,11204
"38","Av M",40.617618,-73.959399,11230
"39","71st St",40.619589,-73.998864,11228
"40","18th Av",40.620671,-73.990414,11204
"41","Bay Parkway-22nd Av",40.620769,-73.975264,11230
"42","86th St",40.622687,-74.028398,11209
"43","New Utrecht Av",40.624842,-73.996353,11219
"44","Av J",40.625039,-73.960803,11230
"45","Av I",40.625322,-73.976127,11230
"46","62nd St",40.626472,-73.996895,11219
"47","Av H",40.62927,-73.961639,11230
"48","77th St",40.629742,-74.02551,11209
"49","18th Av",40.629755,-73.976971,11230
"50","Fort Hamilton Parkway",40.631386,-74.005351,11219
"51","55th St",40.631435,-73.995476,11219
"52","Flatbush Av-Brooklyn College",40.632836,-73.947642,11210
"53","Bay Ridge Av",40.634967,-74.023377,11220
"54","8th Av",40.635064,-74.011719,11220
"55","Newkirk Av",40.635082,-73.962793,11226
"56","Ditmas Av",40.636119,-73.978172,11218
"57","50th St",40.63626,-73.994791,11219
"58","Newkirk Av",40.639967,-73.948411,11226
"59","Fort Hamilton Parkway",40.640914,-73.994304,11219
"60","Cortelyou Rd",40.640927,-73.963891,11226
"61","59th St",40.641362,-74.017881,11220
"62","Beverly Rd",40.644031,-73.964492,11226
"63","Church Av",40.644041,-73.979678,11218
"64","53rd St",40.645069,-74.014034,11220
"65","Beverly Rd",40.645098,-73.948959,11226
"66","Canarsie - Rockaway Parkway",40.645757,-73.9025,11236
"67","Canarsie - Rockaway Parkway",40.645957,-73.901741,11236
"68","9th Av",40.646292,-73.994324,11232
"69","Canarsie - Rockaway Parkway",40.646654,-73.90185,11236
"70","45th St",40.648939,-74.010006,11220
"71","Church Av",40.650527,-73.962982,11226
"72","East 105th St",40.650573,-73.899485,11236
"73","Fort Hamilton Parkway",40.650782,-73.975776,11218
"74","Church Av",40.650843,-73.949575,11226
"75","36th St",40.655144,-74.003549,11232
"76","Parkside Av",40.655292,-73.961495,11226
"77","Winthrop St",40.656652,-73.9502,11225
"78","New Lots Av",40.658733,-73.899232,11207
"79","Prospect Park-15 St",40.660365,-73.979493,11215
"80","25th St",40.660397,-73.998091,11232
"81","Howard Beach",40.660476,-73.830301,11414
"82","Saratoga Av",40.661453,-73.916327,11212
"83","Prospect Park",40.661614,-73.962246,11225
"84","Rockaway Av",40.662549,-73.908946,11212
"85","Sterling St",40.662742,-73.95085,11225
"86","Junius St",40.663515,-73.902447,11212
"87","Livonia Av",40.664038,-73.900571,11212
"88","Pennsylvania Av",40.664635,-73.894895,11207
"89","Sutter Av",40.664717,-73.92261,11212
"90","Prospect Av",40.665414,-73.992872,11215
"91","Van Siclen Av",40.665449,-73.889395,11207
"92","New Lots Av",40.666235,-73.884079,11207
"93","7th Av",40.666271,-73.980305,11215
"94","President St",40.667883,-73.950683,11225
"95","Aqueduct-North Conduit Av",40.668234,-73.834058,11420
"96","Utica Av",40.668897,-73.932942,11213
"97","Sutter Av",40.669367,-73.901975,11207
"98","Kingston Av",40.669399,-73.942161,11213
"99","Nostrand Av",40.669847,-73.950466,11225
"100","4th Av",40.670272,-73.989779,11215
"101","Botanic Gardens",40.670343,-73.959245,11225
"102","Franklin Av",40.670682,-73.958131,11225
"103","9th St",40.670847,-73.988302,11215
"104","Eastern Parkway-Brooklyn Museum",40.671987,-73.964375,11238
"105","Aqueduct Racetrack",40.672131,-73.835812,11420
"106","Van Siclen Av",40.67271,-73.890358,11207
"107","Smith-9th St",40.67358,-73.995959,7030
"108","Shepherd Av",40.67413,-73.88075,11208
"109","Liberty Av",40.674542,-73.896548,11207
"110","Park Place",40.674772,-73.957624,11238
"111","Grand Army Plaza",40.675235,-73.971046,11238
"112","Atlantic Av",40.675345,-73.903097,11207
"113","Euclid Av",40.675377,-73.872106,11208
"114","Alabama Av",40.676992,-73.898654,11207
"115","Grant Av",40.677044,-73.86505,11208
"116","7th Av",40.67705,-73.972367,11238
"117","Union St",40.677316,-73.98311,11215
"118","Van Siclen Av",40.678024,-73.891688,11207
"119","Broadway Junction-East New York",40.678334,-73.905316,11233
"120","Rockaway Av",40.67834,-73.911946,11233
"121","Ralph Av",40.678822,-73.920786,11233
"122","Utica Av",40.679364,-73.930729,11233
"123","80th St-Hudson St",40.679371,-73.858992,11417
"124","88th St-Boyd Av",40.679843,-73.85147,11417
"125","Kingston-Throop",40.679921,-73.940858,11216
"126","Cleveland St",40.679947,-73.884639,11208
"127","Carroll St",40.680303,-73.995048,11231
"128","Rockaway Blvd",40.680429,-73.843853,11417
"129","Nostrand Av",40.680438,-73.950426,11216
"130","Franklin Av",40.680596,-73.955827,11238
"131","Bergen St",40.680829,-73.975098,11217
"132","Franklin Av",40.68138,-73.956848,11238
"133","Norwood Av",40.68141,-73.880039,11208
"134","104th St-Oxford Av",40.681711,-73.837683,11417
"135","Bushwick Av",40.682829,-73.905249,11207
"136","Chauncey St",40.682893,-73.910456,11207
"137","Crescent St",40.683194,-73.873785,11208
"138","Clinton & Washington Avs",40.683263,-73.965838,11238
"139","Atlantic Av-Barclays Ctr",40.683666,-73.97881,11217
"140","111th St-Greenwood Av",40.684331,-73.832163,11419
"141","Atlantic Av-Barclays Ctr",40.684359,-73.977666,11217
"142","Atlantic Av",40.68446,-73.97689,11217
"143","Lefferts Blvd",40.685951,-73.825798,11419
"144","Lafayette Av",40.686113,-73.973946,11217
"145","Bergen St",40.686145,-73.990862,11201
"146","Halsey St",40.68637,-73.916559,11221
"147","Fulton St",40.687119,-73.975375,11217
"148","Clinton-Washington Avs",40.688089,-73.966839,11238
"149","Nevins St",40.688246,-73.980492,11217
"150","Hoyt & Schermerhorn",40.688484,-73.985001,11201
"151","Wilson Av",40.688764,-73.904046,11207
"152","Classon Av",40.688873,-73.96007,11238
"153","Bedford-Nostrand Avs",40.689627,-73.953522,11205
"154","Gates Av",40.68963,-73.92227,11221
"155","Cypress Hills",40.689941,-73.87255,11208
"156","Hoyt St",40.690545,-73.985065,11201
"157","DeKalb Av",40.690635,-73.981824,11201
"158","Elderts Lane-75th St",40.691324,-73.867139,11421
"159","Lawrence St",40.69218,-73.985942,11201
"160","Jay St - Borough Hall",40.692338,-73.987342,11201
"161","Borough Hall",40.692404,-73.990151,11201
"162","Forest Parkway-85th St",40.692435,-73.86001,11421
"163","Borough Hall",40.693219,-73.989998,11201
"164","Kosciusko St",40.693342,-73.928814,11221
"165","Woodhaven Blvd",40.693879,-73.851576,11421
